preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Idols (B) Offerings (C) Prayers (D) Apparitions. Of the answer choices above, answer (A) is the",best,1,world_religions,[-18.898374557495117]
" What can murtis be translated as? (A) Idols (B) Offerings (C) Prayers (D) Apparitions. Of the answer choices above, answer (B) is the",best,0,world_religions,[-18.898374557495117]
" What can murtis be translated as? (A) Idols (B) Offerings (C) Prayers (D) Apparitions. Of the answer choices above, answer (C) is the",best,0,world_religions,[-18.898374557495117]
" What can murtis be translated as? (A) Idols (B) Offerings (C) Prayers (D) Apparitions. Of the answer choices above, answer (D) is the",best,0,world_religions,[-18.898374557495117]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.1649389266967773]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, answer (B) is the",best,0,world_religions,[-1.2402238845825195]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.1680231094360352]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, answer (D) is the",best,1,world_religions,[-1.148758888244629]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE (D) 596 CE. Of the answer choices above, answer (A) is the",best,0,world_religions,[-16.624670028686523]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE (D) 596 CE. Of the answer choices above, answer (B) is the",best,0,world_religions,[-15.718507766723633]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE (D) 596 CE. Of the answer choices above, answer (C) is the",best,0,world_religions,[-16.07099723815918]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE (D) 596 CE. Of the answer choices above, answer (D) is the",best,1,world_religions,[-16.87266731262207]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Nehebkau (D) Akitu. Of the answer choices above, answer (A) is the",best,0,world_religions,[-4.669864654541016]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Nehebkau (D) Akitu. Of the answer choices above, answer (B) is the",best,0,world_religions,[-4.0422515869140625]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Nehebkau (D) Akitu. Of the answer choices above, answer (C) is the",best,0,world_religions,[-4.033747673034668]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Nehebkau (D) Akitu. Of the answer choices above, answer (D) is the",best,1,world_religions,[-3.8053321838378906]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami (D) Ikebana. Of the answer choices above, answer (A) is the",best,0,world_religions,[-17.225168228149414]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami (D) Ikebana. Of the answer choices above, answer (B) is the",best,0,world_religions,[-17.225168228149414]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami (D) Ikebana. Of the answer choices above, answer (C) is the",best,0,world_religions,[-17.225168228149414]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami (D) Ikebana. Of the answer choices above, answer (D) is the",best,1,world_religions,[-17.225168228149414]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (A) is the",best,1,world_religions,[-1.3411006927490234]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (B) is the",best,0,world_religions,[-1.4065313339233398]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.6817455291748047]
