preamble,stimulus,is_correct,subject,stimulus_prob
"Select an answer choice (A) choice (B) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-0.8125]
"Select an answer choice (A) choice (B) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.125]
"Select an answer choice (A) choice (B) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.4375]
"Select an answer choice (A) choice (B) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-3.0]
"Select an answer choice (A) choice (B) choice (D) choice (C) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-0.875]
"Select an answer choice (A) choice (B) choice (D) choice (C) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.125]
"Select an answer choice (A) choice (B) choice (D) choice (C) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-2.8125]
"Select an answer choice (A) choice (B) choice (D) choice (C) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.5]
"Select an answer choice (A) choice (C) choice (B) choice (D) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-0.875]
"Select an answer choice (A) choice (C) choice (B) choice (D) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.0625]
"Select an answer choice (A) choice (C) choice (B) choice (D) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.25]
"Select an answer choice (A) choice (C) choice (B) choice (D) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-2.9375]
"Select an answer choice (A) choice (C) choice (D) choice (B) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-0.9375]
"Select an answer choice (A) choice (C) choice (D) choice (B) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.0]
"Select an answer choice (A) choice (C) choice (D) choice (B) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-2.75]
"Select an answer choice (A) choice (C) choice (D) choice (B) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.25]
"Select an answer choice (A) choice (D) choice (B) choice (C) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-0.9375]
"Select an answer choice (A) choice (D) choice (B) choice (C) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-2.125]
"Select an answer choice (A) choice (D) choice (B) choice (C) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.1875]
"Select an answer choice (A) choice (D) choice (B) choice (C) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.5]
"Select an answer choice (A) choice (D) choice (C) choice (B) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-1.0]
"Select an answer choice (A) choice (D) choice (C) choice (B) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-2.125]
"Select an answer choice (A) choice (D) choice (C) choice (B) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.25]
"Select an answer choice (A) choice (D) choice (C) choice (B) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-2.25]
"Select an answer choice (B) choice (A) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-1.0]
"Select an answer choice (B) choice (A) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",A,1,control,[-1.4375]
"Select an answer choice (B) choice (A) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",C,0,control,[-2.6875]
"Select an answer choice (B) choice (A) choice (C) choice (D) choice. Of the answer choices above, the best answer choice is (",D,0,control,[-3.0]
"Select an answer choice (B) choice (A) choice (D) choice (C) choice. Of the answer choices above, the best answer choice is (",B,0,control,[-1.0]
