preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (A) is the",best,0,world_religions,[-13.368856430053711]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (B) is the",best,0,world_religions,[-13.368856430053711]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (C) is the",best,0,world_religions,[-13.368856430053711]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, answer (D) is the",best,1,world_religions,[-13.368856430053711]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, answer (A) is the",best,1,world_religions,[-1.4915275573730469]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, answer (B) is the",best,0,world_religions,[-1.5940256118774414]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.6615056991577148]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, answer (D) is the",best,0,world_religions,[-1.7092218399047852]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (A) is the",best,1,world_religions,[-14.362314224243164]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (B) is the",best,0,world_religions,[-15.196577072143555]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (C) is the",best,0,world_religions,[-14.80270004272461]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (D) is the",best,0,world_religions,[-14.660797119140625]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (A) is the",best,0,world_religions,[-5.344576835632324]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (B) is the",best,1,world_religions,[-4.411822319030762]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (C) is the",best,0,world_religions,[-5.102643966674805]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (D) is the",best,0,world_religions,[-5.258852005004883]
"Which of the following terms denote the Japanese art of flower arranging? (A) Ikebana (B) Zazen (C) Tariki (D) Kami. Of the answer choices above, answer (A) is the",best,1,world_religions,[-20.232990264892578]
"Which of the following terms denote the Japanese art of flower arranging? (A) Ikebana (B) Zazen (C) Tariki (D) Kami. Of the answer choices above, answer (B) is the",best,0,world_religions,[-20.232990264892578]
"Which of the following terms denote the Japanese art of flower arranging? (A) Ikebana (B) Zazen (C) Tariki (D) Kami. Of the answer choices above, answer (C) is the",best,0,world_religions,[-20.232990264892578]
"Which of the following terms denote the Japanese art of flower arranging? (A) Ikebana (B) Zazen (C) Tariki (D) Kami. Of the answer choices above, answer (D) is the",best,0,world_religions,[-20.232990264892578]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.4992704391479492]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (B) is the",best,1,world_religions,[-1.5101842880249023]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.531332015991211]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (D) is the",best,0,world_religions,[-1.5720319747924805]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam (D) Guru. Of the answer choices above, answer (A) is the",best,1,world_religions,[-14.741260528564453]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam (D) Guru. Of the answer choices above, answer (B) is the",best,0,world_religions,[-14.741260528564453]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam (D) Guru. Of the answer choices above, answer (C) is the",best,0,world_religions,[-14.741260528564453]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam (D) Guru. Of the answer choices above, answer (D) is the",best,0,world_religions,[-14.741260528564453]
"What is the mi'raj? (A) Muhammad's migration to Mecca (B) Muhammad's miraculous ascent to heaven (C) Muhammad's first community in Mecca (D) Muhammad's revelations of the Qur'an. Of the answer choices above, answer (A) is the",best,0,world_religions,[-13.231847763061523]
"What is the mi'raj? (A) Muhammad's migration to Mecca (B) Muhammad's miraculous ascent to heaven (C) Muhammad's first community in Mecca (D) Muhammad's revelations of the Qur'an. Of the answer choices above, answer (B) is the",best,1,world_religions,[-11.68624496459961]
"What is the mi'raj? (A) Muhammad's migration to Mecca (B) Muhammad's miraculous ascent to heaven (C) Muhammad's first community in Mecca (D) Muhammad's revelations of the Qur'an. Of the answer choices above, answer (C) is the",best,0,world_religions,[-13.252761840820312]
"What is the mi'raj? (A) Muhammad's migration to Mecca (B) Muhammad's miraculous ascent to heaven (C) Muhammad's first community in Mecca (D) Muhammad's revelations of the Qur'an. Of the answer choices above, answer (D) is the",best,0,world_religions,[-12.522954940795898]
"What is the name of the most famous dharmashastras, which probably dates from around the first century? (A) Laws of Manu (B) Laws of Dharma (C) Laws of Karma (D) Laws of Vishnu. Of the answer choices above, answer (A) is the",best,1,world_religions,[-2.580214500427246]
"What is the name of the most famous dharmashastras, which probably dates from around the first century? (A) Laws of Manu (B) Laws of Dharma (C) Laws of Karma (D) Laws of Vishnu. Of the answer choices above, answer (B) is the",best,0,world_religions,[-2.4827451705932617]
"What is the name of the most famous dharmashastras, which probably dates from around the first century? (A) Laws of Manu (B) Laws of Dharma (C) Laws of Karma (D) Laws of Vishnu. Of the answer choices above, answer (C) is the",best,0,world_religions,[-2.4593944549560547]
"What is the name of the most famous dharmashastras, which probably dates from around the first century? (A) Laws of Manu (B) Laws of Dharma (C) Laws of Karma (D) Laws of Vishnu. Of the answer choices above, answer (D) is the",best,0,world_religions,[-2.538386344909668]
"What does the term ""Qur'an"" literally mean? (A) The Recitation (B) The Holy Book (C) The Narrative (D) The Pillars. Of the answer choices above, answer (A) is the",best,1,world_religions,[-21.343639373779297]
"What does the term ""Qur'an"" literally mean? (A) The Recitation (B) The Holy Book (C) The Narrative (D) The Pillars. Of the answer choices above, answer (B) is the",best,0,world_religions,[-21.343639373779297]
