preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-2.448232650756836]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-2.166982650756836]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-1.526357650756836]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, the best answer choice is (",D,1,world_religions,[-0.5888576507568359]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-1.5762996673583984]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",B,1,world_religions,[-0.43567466735839844]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-2.5919246673583984]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-2.8575496673583984]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-1.4006938934326172]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-1.3694438934326172]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-1.1975688934326172]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, the best answer choice is (",D,1,world_religions,[-1.7131938934326172]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Akitu (B) Wag and Thoth (C) Bast and (D) Nehebkau. Of the answer choices above, the best answer choice is (",A,1,world_religions,[-0.05029296875]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Akitu (B) Wag and Thoth (C) Bast and (D) Nehebkau. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-4.87060546875]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Akitu (B) Wag and Thoth (C) Bast and (D) Nehebkau. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-4.77685546875]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Akitu (B) Wag and Thoth (C) Bast and (D) Nehebkau. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-3.95654296875]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami and (D) Ikebana. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-5.211387634277344]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami and (D) Ikebana. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-4.945762634277344]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami and (D) Ikebana. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-3.8051376342773438]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Kami and (D) Ikebana. Of the answer choices above, the best answer choice is (",D,1,world_religions,[-0.05513763427734375]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion and (D) Goodwill and love. Of the answer choices above, the best answer choice is (",A,1,world_religions,[-1.8489418029785156]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion and (D) Goodwill and love. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-1.4270668029785156]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion and (D) Goodwill and love. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-1.0364418029785156]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Harmony and balance (B) Devotion and piety (C) Love and passion and (D) Goodwill and love. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-1.5051918029785156]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam and (D) Guru. Of the answer choices above, the best answer choice is (",A,1,world_religions,[-0.2317028045654297]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam and (D) Guru. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-4.45826530456543]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam and (D) Guru. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-1.9035778045654297]
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation? (A) Shabad (B) Khalse (C) Nam and (D) Guru. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-3.8176403045654297]
"What is the mi'raj? (A) Muhammad's miraculous ascent to heaven (B) Muhammad's migration to Mecca (C) Muhammad's first community in Mecca and (D) Muhammad's revelations of the Qur'an. Of the answer choices above, the best answer choice is (",A,1,world_religions,[-0.09424400329589844]
