preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-7.035163879394531]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, the best answer choice is (",B,1,world_religions,[-6.496101379394531]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-9.277351379394531]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-9.019538879394531]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",A,1,world_religions,[-8.104021072387695]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-6.432146072387695]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-8.744646072387695]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Yin-Yang School (B) Daoism (C) Mengzi (D) Humanistic Buddhism. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-8.111833572387695]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-7.5847320556640625]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",B,1,world_religions,[-7.0534820556640625]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-8.264419555664062]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 596 CE (C) 119 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-7.6784820556640625]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-8.948305130004883]
