preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,"[-2.205537796020508, -1.8555164337158203, -9.105951309204102, -2.261514663696289, -2.3544092178344727, -2.3855581283569336, -1.9952383041381836, -2.7251758575439453, -3.093486785888672, -2.8472299575805664, -2.1758346557617188, -1.7032461166381836, -1.3030710220336914, -2.021026611328125, -16.048152923583984, -2.340317726135254, -2.6286191940307617, -2.19785213470459, -2.379362106323242, -2.973907470703125, -2.17726993560791, -1.652268409729004, -15.40345287322998, -2.6919450759887695, -2.244548797607422, -2.230447769165039, -2.720712661743164, -14.365473747253418, -15.141247749328613, -2.358226776123047, -1.4851818084716797, -2.612881660461426, -1.3062267303466797, -2.3861207962036133, -15.641225814819336, -2.127264976501465, -14.280204772949219, -2.3370113372802734, -1.4363718032836914, -2.505112648010254, -2.52719783782959, -2.8348751068115234, -16.4136905670166, -1.823974609375, -2.8113136291503906, -19.173786163330078, -2.21909236907959, -2.2457942962646484, -2.047175407409668, -1.2021636962890625]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,"[-1.8780269622802734, -2.5317583084106445, -2.953240394592285, -1.8032302856445312, -1.7378454208374023, -17.908220291137695, -1.826399803161621, -1.8220672607421875, -1.949315071105957, -2.2896509170532227, -2.286050796508789, -2.310500144958496, -2.4761533737182617, -2.1078004837036133, -2.807453155517578, -1.8795461654663086, -15.162962913513184, -13.804741859436035, -2.1239452362060547, -2.4736337661743164, -1.7228145599365234, -1.9833946228027344, -2.772268295288086, -14.106156349182129, -1.6227235794067383, -1.9819107055664062, -1.6106224060058594, -2.185553550720215, -2.058237075805664, -2.2501916885375977, -14.864609718322754, -1.9780817031860352, -2.207310676574707, -2.704814910888672, -1.8175640106201172, -2.1619739532470703, -1.3587026596069336, -15.223808288574219, -2.2197465896606445, -1.957540512084961, -16.740293502807617, -2.6417665481567383, -1.8605976104736328, -2.2030105590820312, -1.45281982421875, -3.0434188842773438, -2.4669418334960938, -2.367434501647949, -2.2175045013427734, -1.7098827362060547]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,"[-2.0270700454711914, -1.721231460571289, -1.9900455474853516, -1.4470176696777344, -1.8574504852294922, -1.6339244842529297, -14.008782386779785, -3.0237226486206055, -2.2041778564453125, -1.1534252166748047, -14.27783203125, -2.51104736328125, -2.751373291015625, -2.009378433227539, -15.970690727233887, -1.2997102737426758, -1.6423377990722656, -2.5340137481689453, -14.18867015838623, -2.465801239013672, -2.281649589538574, -15.263632774353027, -2.3300933837890625, -1.9646663665771484, -1.8741626739501953, -1.7590208053588867, -1.9315176010131836, -2.2542762756347656, -2.5914316177368164, -1.8765182495117188, -13.018815040588379, -2.2875661849975586, -2.192296028137207, -2.7996225357055664, -2.995870590209961, -2.0635557174682617, -1.6016921997070312, -1.7939367294311523, -1.5402231216430664, -2.6777095794677734, -2.205228805541992, -1.943913459777832, -2.388914108276367, -2.068014144897461, -1.3766584396362305, -2.056123733520508, -19.53304672241211, -1.9956779479980469, -2.6727943420410156, -1.7531051635742188]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,"[-2.3640899658203125, -2.077324867248535, -1.652390480041504, -2.9222965240478516, -1.8864355087280273, -1.3435564041137695, -2.7625484466552734, -1.8974409103393555, -2.400646209716797, -2.245208740234375, -2.122378349304199, -1.4900245666503906, -15.388132095336914, -1.6719837188720703, -2.2744064331054688, -2.0208282470703125, -13.061975479125977, -1.784433364868164, -2.1593570709228516, -1.991511344909668, -18.31415557861328, -2.1298484802246094, -1.6826581954956055, -2.7730274200439453, -2.956308364868164, -2.498013496398926, -16.556425094604492, -1.9642372131347656, -2.0681381225585938, -2.089236259460449, -2.4323387145996094, -2.4500322341918945, -2.193087577819824, -1.8615150451660156, -2.5790443420410156, -2.475541114807129, -2.183929443359375, -2.6188602447509766, -1.9650583267211914, -2.387613296508789, -2.255080223083496, -2.1865854263305664, -2.8746337890625, -2.284719467163086, -2.196383476257324, -2.2793540954589844, -2.096768379211426, -2.3892879486083984, -2.106321334838867, -2.1475419998168945]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,"[-15.050065040588379, -2.3207664489746094, -2.680238723754883, -2.6314544677734375, -18.681522369384766, -2.3511428833007812, -2.751220703125, -2.294116973876953, -2.4762802124023438, -2.5112876892089844, -1.7411985397338867, -2.781888008117676, -2.977933883666992, -2.7009267807006836, -2.2232189178466797, -1.7439517974853516, -2.3231706619262695, -1.586033821105957, -2.3440380096435547, -2.0312318801879883, -2.289407730102539, -2.4690284729003906, -2.22286319732666, -2.768674850463867, -2.2875900268554688, -2.530055046081543, -1.9648246765136719, -2.919650077819824, -2.6540517807006836, -2.194744110107422, -2.4501953125, -3.35837459564209, -2.2701005935668945, -2.319540023803711, -2.032107353210449, -2.2074737548828125, -2.188508987426758, -2.726755142211914, -2.313131332397461, -2.2858104705810547, -2.292666435241699, -2.537120819091797, -2.2244997024536133, -14.697269439697266, -2.5128440856933594, -1.9246253967285156, -12.826765060424805, -1.8806648254394531, -1.9593067169189453, -2.020641326904297]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,"[-2.2622432708740234, -1.625997543334961, -2.3471431732177734, -2.399773597717285, -2.315487861633301, -2.429751396179199, -1.8353643417358398, -2.3981504440307617, -2.872321128845215, -1.356776237487793, -2.372793197631836, -2.12298583984375, -14.612393379211426, -2.1447010040283203, -2.329916000366211, -2.741342544555664, -15.535978317260742, -1.729599952697754, -2.2065515518188477, -2.2205047607421875, -2.3623857498168945, -13.455376625061035, -1.6647043228149414, -2.248748779296875, -2.058788299560547, -2.259432792663574, -2.9844722747802734, -2.261906623840332, -2.6162614822387695, -2.1932525634765625, -2.5867109298706055, -2.5836334228515625, -2.045535087585449, -2.5025415420532227, -13.063972473144531, -2.4431915283203125, -25.20159149169922, -2.265011787414551, -1.8983306884765625, -2.1014719009399414, -2.0671911239624023, -3.0816383361816406, -2.3399925231933594, -2.921261787414551, -2.2844104766845703, -2.0127105712890625, -2.7918453216552734, -2.2362308502197266, -2.977846145629883, -13.744694709777832]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,"[-2.241250991821289, -2.2199668884277344, -2.2018661499023438, -1.6461124420166016, -1.8319664001464844, -2.259143829345703, -1.745492935180664, -1.9131555557250977, -2.0822439193725586, -2.63497257232666, -2.675360679626465, -1.929591178894043, -2.3182077407836914, -1.665623664855957, -1.686349868774414, -2.4876155853271484, -14.339376449584961, -2.812464714050293, -2.347217559814453, -2.2185373306274414, -2.401320457458496, -1.7718496322631836, -2.289299964904785, -2.580245018005371, -2.3027286529541016, -2.1370105743408203, -2.0675601959228516, -1.5262832641601562, -1.6308374404907227, -2.6229982376098633, -2.4571704864501953, -2.1874866485595703, -2.875894546508789, -14.486066818237305, -2.272052764892578, -2.5626220703125, -2.4462890625, -1.4951486587524414, -2.7095651626586914, -2.0524158477783203, -2.2331132888793945, -2.2623825073242188, -2.080322265625, -2.258390426635742, -2.385495185852051, -1.594696044921875, -2.218597412109375, -2.5391674041748047, -2.341984748840332, -1.9116220474243164]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,"[-2.2286481857299805, -2.138003349304199, -1.4069347381591797, -1.757986068725586, -2.3990402221679688, -2.641798973083496, -2.3229103088378906, -1.9205541610717773, -2.161309242248535, -2.469959259033203, -2.8328046798706055, -1.9254560470581055, -1.6489906311035156, -14.309330940246582, -2.489771842956543, -1.880147933959961, -15.278965950012207, -2.5690536499023438, -2.859729766845703, -2.1625003814697266, -1.7269182205200195, -2.129702568054199, -2.590768814086914, -1.8170833587646484, -2.3248672485351562, -1.8101367950439453, -2.5895843505859375, -13.523778915405273, -1.9487428665161133, -2.275088310241699, -2.0137128829956055, -2.0576257705688477, -10.157330513000488, -1.7437572479248047, -1.9972667694091797, -1.9408025741577148, -2.447604179382324, -1.5518779754638672, -2.09942626953125, -2.223388671875, -2.72381591796875, -2.833881378173828, -2.425583839416504, -2.1551332473754883, -2.24130916595459, -1.8795967102050781, -2.0253353118896484, -14.77281665802002, -1.7398052215576172, -1.7125873565673828]"
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,"[-1.897512435913086, -3.0851144790649414, -2.9189939498901367, -2.9873266220092773, -2.440683364868164, -2.70015811920166, -2.4088573455810547, -2.933788299560547, -2.8224058151245117, -2.463648796081543, -2.868136405944824, -19.31058120727539, -1.9537839889526367, -2.383584976196289, -2.8442907333374023, -2.195768356323242, -15.372395515441895, -3.14595890045166, -2.110626220703125, -2.4218759536743164, -2.671262741088867, -2.193791389465332, -2.4828901290893555, -2.294034004211426, -1.7700080871582031, -2.666595458984375, -13.854790687561035, -2.6033782958984375, -1.8109111785888672, -1.9583778381347656, -2.444652557373047, -2.2314891815185547, -2.829949378967285, -2.026926040649414, -2.1541404724121094, -3.2358694076538086, -2.6831092834472656, -3.072633743286133, -2.151228904724121, -3.270570755004883, -16.378341674804688, -1.7535734176635742, -3.307340621948242, -3.116909980773926, -2.610163688659668, -2.392594337463379, -2.608041763305664, -2.3212661743164062, -3.172478675842285, -3.051973342895508]"
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,"[-2.1627445220947266, -2.533182144165039, -2.4874067306518555, -2.90509033203125, -2.422382354736328, -3.5005102157592773, -1.855177879333496, -1.505101203918457, -2.4811153411865234, -2.546957015991211, -1.5648107528686523, -2.6030588150024414, -3.600346565246582, -2.9891414642333984, -13.26956844329834, -2.970752716064453, -2.055612564086914, -14.937933921813965, -2.114316940307617, -3.0236692428588867, -15.619879722595215, -2.2815656661987305, -2.8020849227905273, -11.096122741699219, -3.040177345275879, -1.074753761291504, -2.2401819229125977, -3.143948554992676, -2.1621875762939453, -3.148662567138672, -2.9393129348754883, -3.505716323852539, -2.2767229080200195, -2.5567750930786133, -2.7156877517700195, -3.1627979278564453, -2.2367401123046875, -2.5672950744628906, -1.4029254913330078, -2.771200180053711, -2.3722190856933594, -2.908991813659668, -2.713564872741699, -2.4038562774658203, -2.252333641052246, -2.1314496994018555, -14.81773567199707, -3.0230932235717773, -2.498424530029297, -2.7592039108276367]"
