preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-8.203773498535156]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-10.274085998535156]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-8.961585998535156]
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions (D) Idols. Of the answer choices above, the best answer choice is (",D,1,world_religions,[-6.570960998535156]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-7.8716278076171875]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-9.738815307617188]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, the best answer choice is (",C,0,world_religions,[-9.473190307617188]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Humanistic Buddhism (D) Yin-Yang School. Of the answer choices above, the best answer choice is (",D,1,world_religions,[-6.8013153076171875]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 596 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-7.341115951538086]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 596 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-7.802053451538086]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 596 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",C,1,world_religions,[-6.950490951538086]
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 596 CE (D) 451 CE. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-7.294240951538086]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Akitu (D) Nehebkau. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-10.060710906982422]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Akitu (D) Nehebkau. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-10.884929656982422]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Akitu (D) Nehebkau. Of the answer choices above, the best answer choice is (",C,1,world_religions,[-7.349773406982422]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Bast (C) Akitu (D) Nehebkau. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-10.603679656982422]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Ikebana (D) Kami. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-10.877655029296875]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Ikebana (D) Kami. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-12.115936279296875]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Ikebana (D) Kami. Of the answer choices above, the best answer choice is (",C,1,world_religions,[-6.799530029296875]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Tariki (C) Ikebana (D) Kami. Of the answer choices above, the best answer choice is (",D,0,world_religions,[-10.725311279296875]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Love and passion (C) Harmony and balance (D) Goodwill and love. Of the answer choices above, the best answer choice is (",A,0,world_religions,[-5.874052047729492]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Love and passion (C) Harmony and balance (D) Goodwill and love. Of the answer choices above, the best answer choice is (",B,0,world_religions,[-9.092802047729492]
