preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,"[-2.875, -1.765625, -3.6640625, -2.2734375, -2.375, -3.03125, -4.0078125, -2.921875, -2.1875, -3.078125, -3.125, -3.8828125, -4.0703125, -3.8828125, -3.2578125, -3.3671875, -4.3203125, -2.75, -2.09375, -2.6328125, -3.59375, -3.4453125, -2.7578125, -2.6953125, -3.9375, -1.84375, -2.484375, -3.4375, -3.140625, -3.0390625, -1.8984375, -2.78125, -2.1171875, -2.3671875, -2.6953125, -3.0078125, -3.2890625, -2.453125, -2.0390625, -3.6484375, -3.3515625, -2.4921875, -1.296875, -2.2421875, -1.7578125, -1.9140625, -2.3671875, -2.2578125, -2.65625, -2.9609375]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,"[-2.9140625, -2.921875, -1.8671875, -2.609375, -3.1796875, -3.0, -4.3046875, -1.578125, -2.109375, -3.25, -3.3828125, -3.234375, -3.203125, -3.265625, -2.4375, -2.84375, -3.609375, -2.3125, -1.46875, -2.7578125, -3.25, -2.4609375, -3.0, -3.8203125, -3.1875, -1.8125, -3.8984375, -2.609375, -2.3671875, -2.2578125, -2.421875, -2.5625, -2.9453125, -1.6875, -2.875, -2.5703125, -4.6484375, -3.234375, -3.703125, -2.5546875, -3.109375, -2.296875, -1.515625, -2.9140625, -2.1328125, -3.34375, -3.8359375, -3.140625, -1.9140625, -2.2734375]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,"[-1.828125, -3.1796875, -1.8359375, -1.7734375, -3.703125, -3.375, -3.234375, -2.296875, -1.5625, -1.7109375, -1.9375, -3.2109375, -3.859375, -2.3671875, -2.6953125, -6.8203125, -3.59375, -2.703125, -3.640625, -2.875, -3.5703125, -1.390625, -2.5625, -3.0390625, -3.0625, -2.9921875, -3.8515625, -4.1328125, -3.0546875, -1.9453125, -3.0703125, -2.8046875, -3.5546875, -3.2578125, -2.3828125, -3.40625, -2.0546875, -3.296875, -1.2421875, -2.6875, -2.640625, -2.140625, -2.90625, -2.7890625, -2.09375, -1.6796875, -1.953125, -1.7734375, -2.40625, -1.875]"
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,"[-1.890625, -2.7109375, -2.9609375, -3.328125, -2.25, -2.5390625, -2.0625, -1.984375, -2.4921875, -2.5859375, -2.8046875, -2.6484375, -3.5625, -3.1015625, -2.1328125, -2.75, -3.171875, -2.7265625, -3.3671875, -2.6796875, -3.546875, -3.203125, -2.46875, -1.640625, -2.6796875, -2.0625, -2.4453125, -3.8359375, -1.6953125, -1.6875, -3.1484375, -3.1171875, -2.2578125, -2.0390625, -2.515625, -3.6640625, -3.328125, -3.21875, -3.40625, -3.03125, -2.9140625, -2.5546875, -3.984375, -2.3125, -4.015625, -1.7734375, -2.8984375, -3.234375, -2.78125, -3.28125]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,"[-2.6171875, -2.015625, -2.6796875, -3.8125, -3.109375, -2.3828125, -2.5390625, -3.8984375, -2.8046875, -1.703125, -2.4765625, -2.5625, -2.640625, -2.0859375, -1.921875, -2.8359375, -2.453125, -2.5625, -2.28125, -2.984375, -3.9375, -2.703125, -2.1875, -3.3671875, -2.9921875, -1.515625, -4.390625, -1.7734375, -2.75, -2.3046875, -3.546875, -2.0390625, -3.3671875, -2.6484375, -3.90625, -1.7578125, -2.8046875, -3.046875, -2.515625, -3.3671875, -2.6015625, -3.7578125, -2.6953125, -2.4453125, -3.296875, -2.5859375, -3.1953125, -1.7578125, -2.8359375, -2.21875]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,"[-2.421875, -2.0625, -2.1875, -4.6796875, -3.6328125, -2.3046875, -2.1875, -5.2109375, -2.5390625, -2.8828125, -2.6171875, -2.515625, -3.7578125, -3.046875, -2.7890625, -2.1796875, -2.9140625, -2.5703125, -2.5078125, -3.8515625, -3.3203125, -3.5, -3.5859375, -4.015625, -3.484375, -3.2578125, -4.9375, -1.8515625, -2.7890625, -2.7890625, -2.6875, -3.6015625, -3.8984375, -2.6171875, -3.1171875, -1.578125, -2.6171875, -2.0703125, -2.125, -2.296875, -3.25, -2.8984375, -1.625, -2.78125, -2.4921875, -2.8984375, -2.609375, -2.59375, -2.9609375, -3.375]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,"[-2.375, -2.2109375, -2.40625, -2.125, -2.1640625, -3.6484375, -2.59375, -3.671875, -2.59375, -1.5859375, -2.1953125, -1.9765625, -3.359375, -2.6328125, -4.0390625, -2.46875, -3.234375, -3.703125, -3.3828125, -1.5078125, -4.8203125, -2.7265625, -2.1484375, -2.921875, -1.4453125, -2.4296875, -3.1328125, -2.90625, -1.2734375, -3.1015625, -3.34375, -3.640625, -2.4140625, -1.9453125, -1.6796875, -2.65625, -1.609375, -2.8203125, -2.5078125, -3.046875, -2.0390625, -2.4453125, -2.453125, -2.1328125, -2.28125, -2.015625, -3.4609375, -2.015625, -2.7421875, -3.578125]"
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,"[-2.9296875, -2.8515625, -2.578125, -3.71875, -2.7109375, -2.8046875, -2.734375, -2.3671875, -1.640625, -2.5234375, -3.5859375, -2.6328125, -2.7265625, -1.4296875, -2.890625, -1.8671875, -2.5078125, -3.3984375, -2.6875, -2.5546875, -1.8515625, -3.640625, -3.0390625, -1.90625, -3.2734375, -1.359375, -2.40625, -4.6953125, -2.6328125, -3.0, -1.2109375, -3.1171875, -3.859375, -3.3984375, -4.375, -2.4921875, -2.984375, -2.25, -1.84375, -2.171875, -3.5390625, -3.1953125, -2.15625, -2.0859375, -2.5625, -2.9140625, -2.3046875, -2.6875, -3.390625, -2.453125]"
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,"[-3.296875, -3.6484375, -2.0546875, -1.7265625, -1.59375, -3.015625, -3.1015625, -2.4765625, -3.109375, -3.546875, -2.65625, -3.359375, -2.234375, -5.2265625, -4.3515625, -4.0390625, -2.03125, -2.7890625, -3.25, -2.46875, -4.6484375, -4.6640625, -3.1875, -3.5, -3.203125, -3.625, -4.1171875, -2.9921875, -3.171875, -2.328125, -2.125, -2.4921875, -3.0, -1.625, -2.9296875, -4.46875, -1.640625, -3.2734375, -3.65625, -1.7734375, -2.484375, -2.828125, -2.6640625, -1.75, -2.953125, -3.859375, -2.5625, -3.859375, -2.59375, -3.2578125]"
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,"[-4.46875, -3.5546875, -3.5703125, -1.8203125, -3.59375, -3.375, -3.8671875, -2.453125, -3.2890625, -3.4375, -5.0703125, -2.5546875, -3.671875, -4.2109375, -3.8828125, -3.3046875, -2.953125, -2.4140625, -3.7421875, -2.8203125, -2.3359375, -3.1484375, -3.046875, -3.0, -2.9296875, -3.2890625, -4.40625, -3.5078125, -2.859375, -2.4296875, -4.375, -3.28125, -1.8984375, -3.078125, -2.9296875, -3.7109375, -3.4375, -2.3203125, -2.375, -2.8125, -4.8828125, -3.28125, -3.78125, -4.5390625, -3.90625, -4.0078125, -3.265625, -2.9765625, -3.09375, -2.1796875]"
