preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (A) is the",best,0,world_religions,[-18.473331451416016]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (B) is the",best,1,world_religions,[-18.473331451416016]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (C) is the",best,0,world_religions,[-18.473331451416016]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (D) is the",best,0,world_religions,[-18.473331451416016]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.5002193450927734]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (B) is the",best,0,world_religions,[-1.6137847900390625]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (C) is the",best,1,world_religions,[-1.5919132232666016]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (D) is the",best,0,world_religions,[-1.6806859970092773]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (A) is the",best,1,world_religions,[-14.362314224243164]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (B) is the",best,0,world_religions,[-15.196577072143555]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (C) is the",best,0,world_religions,[-14.80270004272461]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (D) is the",best,0,world_religions,[-14.660797119140625]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (A) is the",best,0,world_religions,[-5.344576835632324]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (B) is the",best,1,world_religions,[-4.411822319030762]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (C) is the",best,0,world_religions,[-5.102643966674805]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (D) is the",best,0,world_religions,[-5.258852005004883]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (A) is the",best,0,world_religions,[-20.37403678894043]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (B) is the",best,1,world_religions,[-20.37403678894043]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (C) is the",best,0,world_religions,[-20.37403678894043]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (D) is the",best,0,world_religions,[-20.37403678894043]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.4992704391479492]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (B) is the",best,1,world_religions,[-1.5101842880249023]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.531332015991211]
