preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.7518730163574219]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (B) is the",best,1,world_religions,[-1.7926864624023438]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.705841064453125]
" What can murtis be translated as? (A) Offerings (B) Idols (C) Prayers (D) Apparitions. Of the answer choices above, answer (D) is the",best,0,world_religions,[-1.7117919921875]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.1283340454101562]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (B) is the",best,0,world_religions,[-1.250162124633789]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (C) is the",best,1,world_religions,[-1.1950626373291016]
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Mengzi (C) Yin-Yang School (D) Humanistic Buddhism. Of the answer choices above, answer (D) is the",best,0,world_religions,[-1.2212562561035156]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (A) is the",best,1,world_religions,[-2.253131866455078]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (B) is the",best,0,world_religions,[-2.439525604248047]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (C) is the",best,0,world_religions,[-2.368793487548828]
" When was the first Buddhist temple constructed in Japan? (A) 596 CE (B) 325 CE (C) 119 CE (D) 451 CE. Of the answer choices above, answer (D) is the",best,0,world_religions,[-2.4609527587890625]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (A) is the",best,0,world_religions,[-2.557199478149414]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (B) is the",best,1,world_religions,[-2.9269189834594727]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (C) is the",best,0,world_religions,[-2.771221160888672]
" What is the name of the ten day New Year festival that celebrated Babylon's culture? (A) Wag and Thoth (B) Akitu (C) Bast (D) Nehebkau. Of the answer choices above, answer (D) is the",best,0,world_religions,[-2.779491424560547]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (A) is the",best,0,world_religions,[-2.9204001426696777]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (B) is the",best,1,world_religions,[-2.9096384048461914]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (C) is the",best,0,world_religions,[-2.827479362487793]
"Which of the following terms denote the Japanese art of flower arranging? (A) Zazen (B) Ikebana (C) Tariki (D) Kami. Of the answer choices above, answer (D) is the",best,0,world_religions,[-3.0539045333862305]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (A) is the",best,0,world_religions,[-1.041731834411621]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (B) is the",best,1,world_religions,[-1.1450796127319336]
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following? (A) Devotion and piety (B) Harmony and balance (C) Love and passion (D) Goodwill and love. Of the answer choices above, answer (C) is the",best,0,world_religions,[-1.0797147750854492]
